,Andrew,Tom,Kyle,Tristan,Konrad,Freyja
Date,2019-12-08,,,,,
1,Black Lotus,Ancestral Recall,Sol Ring,Mox Ruby,Timetwister,Mox Jet
2,"Narset, Parter of Veils",Time Vault,Mox Emerald,Mox Pearl,Yawgmoth's Will,Mox Sapphire
3,"Jace, the Mind Sculptor","Karn, the Great Creator",Force of Will,Mana Crypt,Demonic Tutor,Time Walk
4,Mana Drain,Mana Vault,Birthing Pod,Blood Moon,Dark Ritual,Library of Alexandria
5,"Teferi, Time Raveler",Force of Negation,Prime Speaker Vannifar,Strip Mine,Underground Sea,Thoughtseize
6,Grindstone,Dack Fayden,"Kiki-Jiki, Mirror Breaker",Crucible of Worlds,Brainstorm,Snapcaster Mage
7,Painter's Servant,Grim Monolith,Felidar Guardian,Crop Rotation,Ponder,Polluted Delta
8,Tundra,Tezzeret the Seeker,"Oko, Thief of Crowns",Wasteland,Scalding Tarn,Dark Confidant
9,Counterspell,Tinker,Restoration Angel,Dark Depths,Volcanic Island,Prismatic Vista
10,"Thada Adel, Acquisitor",Chrome Mox,Karmic Guide,Thespian's Stage,Badlands,Spell Pierce
11,Vendilion Clique,Mox Opal,Noble Hierarch,Vampire Hexmage,Bloodstained Mire,Watery Grave
12,"Jace, Vryn's Prodigy // Jace, Telepath Unbound","Urza, Lord High Artificer",Birds of Paradise,Verdant Catacombs,Preordain,Gush
13,Gitaxian Probe,Mox Diamond,Tropical Island,Bayou,Frantic Search,Daze
14,Lotus Petal,Transmute Artifact,Deathrite Shaman,Scapeshift,Vampiric Tutor,Spell Snare
15,"Search for Azcanta // Azcanta, the Sunken Ruin",Goblin Engineer,Spellseeker,Fastbond,Mystical Tutor,Duress
16,Enlightened Tutor,Remand,Neoform,Wrenn and Six,Lion's Eye Diamond,Miscalculation
17,Mental Misstep,Opt,Negate,Field of the Dead,Inquisition of Kozilek,Mana Leak
18,Windfall,Impulse,Llanowar Elves,Primeval Titan,"Baral, Chief of Compliance",Hymn to Tourach
19,Cryptic Command,Voltaic Key,Elvish Mystic,Wooded Foothills,Thirst for Knowledge,Misty Rainforest
20,Arid Mesa,Goblin Welder,Flooded Strand,Windswept Heath,Griselbrand,Bitterblossom
21,Mycosynth Lattice,Steam Vents,Green Sun's Zenith,Marsh Flats,Animate Dead,Drown in the Loch
22,Swan Song,Walking Ballista,Corridor Monitor,Taiga,Compulsive Research,Umezawa's Jitte
23,True-Name Nemesis,Defense Grid,Renegade Rallier,Dakmor Salvage,Cabal Ritual,Unmask
24,Swords to plowshares,Aether Searcher,Collector Ouphe,Eternal Witness,Faithless Looting,Liliana of the Veil
25,Monastery mentor,Arcane Savant,Opposition,Abrupt Decay,Snap,Null Rod
26,"Ashiok, Dream Render",Chain of Vapor,Breeding Pool,Ancient Stirrings,Tendrils of Agony,Shadow of Doubt
27,Balance,Spirebluff Canal,Savannah,Scrubland,Mana Confluence,Darkslick Shores
28,"Dovin, Hand of Control",Fiery Islet,Arbor Elf,Dust Bowl,City of Brass,Thought Erasure
29,Vedalken Shackles,Sulfur Falls,Scryb Ranger,Overgrown Tomb,Baleful Strix,Treasure Cruise
30,"Kataki, War's Wage",Academy Ruins,Scavenging Ooze,Stomping Ground,Wheel of Fortune,Waterlogged Grove
31,"Emry, Lurker of the Loch",Flusterstorm,Phyrexian Revoker,Courser of Kruphix,Seething Song,Disrupting Shoal
32,Rest in Peace,Dispel,Worldly Tutor,Oracle of Mul Daya,Past in Flames,Leyline of the Void
33,Azorius Signet,Talisman of Creativity,Deceiver Exarch,Ramunap Excavator,Reanimate,Steel Sabotage
34,Dovin's Veto,Seat of the Synod,Eldritch Evolution,Elvish Reclaimer,Putrid Imp,Pain Seer
35,Talisman of Progress,Inventors' Fair,Pestermite,Knight of the Reliquary,Entomb,Nimble Obstructionist
36,Surgical Extraction,Tolarian Academy,Avacyn's Pilgrim,Countryside Crusher,"Elesh Norn, Grand Cenobite",Kitesail Freebooter
37,Gideon of the trials,Great Furnace,Fyndhorn Elves,Shattering Spree,Bazaar of Baghdad,Brazen Borrower // Petty Theft
38,Annul,Whir of Invention,Glare of Subdual,Centaur Vinecrasher,Chancellor of the Annex,Glint-Sleeve Siphoner
39,Energy Flux,Spire of Industry,Prophet of Kruphix,Assassin's Trophy,Oona's Prowler,Standstill
40,Trinisphere,Serum Visions,Seedborn Muse,Rakdos Charm,Necromancy,Mesmeric Fiend
41,Chalice of the Void,Izzet Signet,Fauna Shaman,"Azusa, Lost but Seeking",Palinchron,"Liliana, the Last Hope"
42,Hallowed Fountain,Glimmervoid,Temple Garden,Life From the Loam,Turnabout,Repeal
43,Mutavault,Tormod's Crypt,Botanical Sanctum,Wayward Swordtooth,Cyclonic Rift,Mystic Confluence
44,Interplanar beacon,Noxious Revival,Veil of Summer,Lotus Cobra,High Tide,Faerie Macabre
45,Clockspinning,Heat Shimmer,Throne of the God-Pharaoh,Red Elemental Blast,Archon of Valor's Reach,"Tasigur, the Golden Fang"