,player1,Hyphen-ated,player3,player4,player5,player6,player7,player8
Wins,0,5,3,6,2,5,2,4
Losses,7,2,3,1,5,1,5,3
Date,2021-03-17,,,,,,,
1,Black Lotus,Ancestral Recall,Sol Ring,Mox Sapphire,Mox Jet,Mox Emerald,Time Walk,Mox Pearl
2,Vampiric Tutor,Force of Will,Mana Vault,Time Vault,Mox Diamond,Strip Mine,Mana Crypt,Mox Ruby
3,Mystical Tutor,"Narset, Parter of Veils","Oko, Thief of Crowns",Tinker,Thoughtseize,Force of Negation,"Jace, the Mind Sculptor","Karn, the Great Creator"
4,Underground Sea,Demonic Tutor,Ancient Tomb,Daze,Grindstone,Mana Drain,Dack Fayden,Grim Monolith
5,Snapcaster Mage,Spell Pierce,Misty Rainforest,Ponder,Wasteland,Brainstorm,True-Name Nemesis,Tolarian Academy
6,Duress,Library of Alexandria,Tropical Island,Preordain,Dark Ritual,Scalding Tarn,Vendilion Clique,Mishra's Workshop
7,Inquisition of Kozilek,Timetwister,Wooded Foothills,Gitaxian Probe,Dark Confidant,Volcanic Island,Yawgmoth's Will,Mental Misstep
8,Leyline of the Void,Hullbreacher,Pyroblast,Dig Through Time,Opposition Agent,Polluted Delta,Liliana of the Veil,Flooded Strand
9,Helm of Obedience,Thassa's Oracle,Red Elemental Blast,Counterspell,Hymn to Tourach,Remand,Phyrexian Revoker,Mox Opal
10,Force Spike,Mystical Dispute,Veil of Summer,Mana Leak,Grafdigger's Cage,Lightning Bolt,Sorcerous Spyglass,Walking Ballista
11,Watery Grave,Miscalculation,Taiga,"Teferi, Time Raveler",Marsh Flats,Treasure Cruise,Creeping Tar Pit,Chalice of the Void
12,Cryptic Command,Imperial Seal,Sneak Attack,Arid Mesa,Bloodstained Mire,Breeding Pool,Brazen Borrower // Petty Theft,Sphere of Resistance
13,Flusterstorm,Negate,"Emrakul, the Aeons Torn",Memory Lapse,Mind Twist,Prismatic Vista,Glen Elendra Archmage,Lodestone Golem
14,Entomb,Null Rod,Verdant Catacombs,Windswept Heath,Defense Grid,Once Upon a Time,Notion Thief,Lotus Petal
15,Griselbrand,Underground River,Blightsteel Colossus,Containment Priest,Badlands,Serum Visions,Sunken Hollow,"Urza, Lord High Artificer"
16,Annul,Drowned Catacomb,Skullclamp,"Venser, Shaper Savant",Blood Crypt,Steam Vents,Smoldering Marsh,Mystic Forge
17,Swan Song,Darkslick Shores,Show and Tell,Seat of the Synod,"Kroxa, Titan of Death's Hunger",Gush,Fiery Islet,City of Traitors
18,Disrupt,Demonic Consultation,Through the Breach,Mystic Confluence,Mishra's Bauble,"Uro, Titan of Nature's Wrath",Ensnaring Bridge,Thespian's Stage
19,Opt,Lim-Dul's Vault,Fastbond,Karakas,Reanimate,Chain Lightning,Toxic Deluge,Tundra
20,Hurkyl's Recall,Miscast,Opposition,Hallowed Fountain,Meltdown,Misdirection,Weathered Runestone,Balance
21,Exhume,Pack Rat,Nature's Claim,Swords to Plowshares,Gamble,Delver of Secrets // Insectile Aberration,"Thada Adel, Acquisitor",Trinisphere
22,Into the Roil,Clearwater Pathway // Murkwater Pathway,"Ugin, the Spirit Dragon",Shark Typhoon,Specter's Shriek,Stomping Ground,Bribery,Karn Liberated
23,Energy Flux,Dark Depths,Birds of Paradise,Dispel,Sinkhole,Force of Vigor,Fabled Passage,Wurmcoil Engine
24,Shadow of Doubt,Chrome Mox,"Rofellos, Llanowar Emissary",Dovin's Veto,Blackcleave Cliffs,Young Pyromancer,The Tabernacle at Pendrell Vale,Mishra's Factory
25,Fact or Fiction,"Lutri, the Spellchaser",Noble Hierarch,Blink of an Eye,Faithless Looting,Seasoned Pyromancer,Blood Moon,Phyrexian Metamorph
26,Echoing Truth,Impulse,Relic of Progenitus,Faerie Conclave,Liliana's Triumph,Wrenn and Six,Bitter Ordeal,Rishadan Port
27,Thief of Sanity,Countersquall,"Kozilek, Butcher of Truth",Ancestral Vision,Soul Shatter,Waterlogged Grove,Bitterblossom,Metalworker
28,Dismember,Portent,Llanowar Elves,Mutavault,Goblin Engineer,Ethereal Forager,Goblin Cratermaker,Thorn of Amethyst
29,Pact of Negation,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",Fyndhorn Elves,Forbid,Lurrus of the Dream-Den,Abrade,The Elderspell,Stonecoil Serpent
30,Deprive,Vampire Hexmage,Orcish Lumberjack,Rest in Peace,Urza's Bauble,Hexdrinker,"Ashiok, Dream Render","Emry, Lurker of the Loch"
31,Quench,Steel Sabotage,Elvish Mystic,Glacial Fortress,Burning Wish,Sleight of Hand,By Force,Academy Ruins
32,Rune Snag,Blue Elemental Blast,Craterhoof Behemoth,Hengegate Pathway // Mistgate Pathway,Graven Cairns,Stifle,Mana Confluence,Arcbound Ravager
33,Siren Stormtamer,Hydroblast,Natural Order,Seachrome Coast,Feed the Swarm,Bonecrusher Giant // Stomp,"Chandra, Awakened Inferno",Darksteel Citadel
34,Man-o'-War,Jace's Defeat,Flooded Grove,Standstill,Painter's Servant,Collector Ouphe,Soul-Guide Lantern,Oblivion Stone
35,Sign in Blood,Gainsay,Fire-Lit Thicket,Hall of Heliod's Generosity,Vexing Shusher,Repeal,Sunken Ruins,Everflowing Chalice
36,Doom Blade,Laboratory Maniac,Channel,Enlightened Tutor,Manamorphose,Ingot Chewer,Stasis,Mycosynth Lattice
37,Chart a Course,Vendetta,Arbor Elf,Seal of Cleansing,Kolaghan's Command,Sylvan Library,Cascade Bluffs,Thopter Foundry
38,Cyclonic Rift,River of Tears,Woodfall Primus,Inkwell Leviathan,Guttural Response,Cindervines,Engineered Explosives,Sword of the Meek
39,Thought Scour,"Dovin, Hand of Control",Utopia Sprawl,Manifold Key,Wishclaw Talisman,Scavenging Ooze,Ratchet Bomb,Inventors' Fair
40,Despise,Spellseeker,Joraga Treespeaker,Ancient Den,Hope of Ghirapur,Tarmogoyf,Baleful Strix,Worn Powerstone
41,Funeral Charm,Ceremonious Rejection,Green Sun's Zenith,Path to Exile,Collective Brutality,Ghost Quarter,"Urborg, Tomb of Yawgmoth",Mindslaver
42,Condescend,Faerie Macabre,Dryad Arbor,Porphyry Nodes,Goblin Welder,Forked Bolt,Pithing Needle,Irrigated Farmland
43,High Tide,Windfall,Gaea's Cradle,Supreme Verdict,Damnation,Hooting Mandrills,Bloodghast,Foundry Inspector
44,Chain of Smog,Divert,Terastodon,Mystic Remora,Lion's Eye Diamond,Surgical Extraction,"Search for Azcanta // Azcanta, the Sunken Ruin","Karn, Scion of Urza"
45,Fatal Push,"Ashiok, Nightmare Weaver",Tooth and Nail,Celestial Colonnade,Nihil Spellbomb,Burnout,Lotus Bloom,Expedition Map