,Omega,sushiske,erburk,Xazuh,Talanthalos,Krenko,Pluckmyeyeout,oden
Wins,1,2,5,4,4,1,4,6
Losses,6,3,2,2,3,6,3,1
Date,2020-04-06,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1V5SMsuKX3B97-jdPqH1vV8xqRhLcYU02p2EsFWwFlfc/edit#gid=0,,,,,,,
1,Black Lotus,Ancestral Recall,Sol Ring,Time Vault,Mox Sapphire,Mox Ruby,Mox Jet,Time Walk
2,"Emry, Lurker of the Loch",Tinker,Lurrus of the Dream-Den,Force of Will,Library of Alexandria,Mana Crypt,Mox Pearl,Mox Emerald
3,Memory Jar,Blightsteel Colossus,Demonic Tutor,Tezzeret the Seeker,Mana Drain,"Jace, The Mind Sculptor",Mana Vault,Dack Fayden
4,Metal Worker,Mox Diamond,Lotus Petal,Transmute Artifact,Counterspell,Timetwister,Strip Mine,"Narset, Parter of Veils"
5,Phryexian Processor,Force of Negation,Lion's Eye Diamond,Grim Monolith,Arcane Savant,Vampiric Tutor,Fastbond,Gush
6,Foil,Mindslaver,Wheel of Fortune,Mishra's Workshop,Spell Pierce,Mystical Tutor,Channel,Brainstorm
7,Stroke of Genius,Tolarian Academy,Chrome Mox,Mox opal,Ponder,Preordain,Wasteland,Daze
8,"Urza, Lord High Artificer
",Dig Through Time,Mental Misstep,Mana leak,Gitaxian Probe,Yawgmoth's Will,Thoughtseize,Pact of Negation
9,"Jace, Cunning Castaway",Polluted Delta,Underworld Breach,"Karn, the Great Creator",Flusterstorm,Serum Visions,"Oko, Thief of Crowns","Lutri, the Spellchaser"
10,Foilio of Fancies,Verdant Catacombs,Dark Depths,Painter's servant,Misty Rainforest,Dark Ritual,Prismatic Vista,Scalding Tarn
11,Cyclonic Rift,"Leovold, Emissary of Trest",Pyroblast,grindstone,Tropical Island,Underground Sea,Wooded Foothills,Flooded Strand
12,Phryexian Metamorph,Bayou,Bloodstained Mire,Defense grid,Windswept Heath,Swan Song,Crucible of Worlds,Mindbreak Trap
13,Isochron Scepter,Watery Grave,Marsh Flats,sensei's divining top,Breeding Pool,Volcanic Island,Elvish Spirit Guide,Arid Mesa
14,thran Dynanmo,Abrupt Decay,Mishra's Bauble,AncIENt tOMb,Sylvan Library,Null Rod,Pentad Prism,Snapcaster Mage
15,upheaval,Overgrown Tomb,Lightning Bolt,Goblin engineer,Remand,Duress,"Emrakul, the Aeons Torn",Red Elemental Blast
16,"Palinchron

",Deathrite Shaman,Faithless Looting,Urza's bauble,Noble Hierarch,Windfall,Zagoth Triome,Mystical Dispute
17,commandeer,Green Sun's Zenith,Badlands,Frantic search,Energy Flux,Steam Vents,Mind Twist,Splinter Twin
18,back to basics,Tarmogoyf,Mana Confluence,"Karn, scion of urza",Collector Ouphe,Bolas's Citadel,Twilight Mire,Pestermite
19,high tide,Force of Vigor,Blood Crypt,True-Name Nemesis,Treasure Cruise,Time Spiral,Hurkyl's Recall,"Dovin, Hand of Control"
20,doubling cube,Assassin's Trophy,Fiery Confluence,"Thada adel, acquisitor",Spellskite,Dark Petition,Imperial Seal,"Teferi, Time Raveler"
21,paradox engine,"Uro, Titan of Nature's Wrath",Plateau,"Ashiok, dream render",Steel Sabotage,Chain of Vapor,Muddle The Mixture,Tundra
22,gifts ungiven,Thassa's Oracle,Dark Confidant,"Saheeli, sublime artificier",Once Upon a Time,Mind's Desire,Bitterblossom,"Jace, Vryn's Prodigy // Jace, Telepath Unbound"
23,archbound ravager,Demonic Consultation,Nihil Spellbomb,Miscalculation,Nature's Claim,Yawgmoth's Bargain,Inquisition of Kozilek,Fact or Fiction
24,extraplanar lens,Brazen Borrower // Petty Theft,Collective Brutality,Academy ruins,Grafdigger's Cage,Cabal Ritual,Thirst for Knowledge,Young Pyromancer
25,fabricate,Ramunap Excavator,Karakas,deprive,Veil of Summer,Arcane Denial,Exploration,Abrade
26,control magic,Waterlogged Grove,Mesmeric Fiend,reshape,Delay,Tendrils of Agony,Crop Rotation,Swords to Plowshares
27,darksteel Juggernaut,Nurturing Peatland,Cavern of Souls,iMPULSE,Yavimaya Coast,Surgical Extraction,Flooded Grove,Opt
28,nexus of fate,Tireless Tracker,Thespian's Stage,trinket mage,Glistener Elf,Lotus Bloom,Entomb,Umezawa's Jitte
29,desertion,"Edric, Spymaster of Trest",Manamorphose,Mind stone,Blighted Agent,Void Snare,Reanimate,Balance
30,rhystic study,Birds of Paradise,Smash to Smithereens,Seat of the synod,Necropede,Lim Dul's Vault,Griselbrand,Stoneforge Mystic
31,thwart,Maelstrom Pulse,Chain Lightning,Chromatic Star,Ichorclaw Myr,Sleight of Hand,Intuition,Sacred Foundry
32,Vesuvan Doppelganger,Putrefy,Engineered Explosives,Paradoxical outcome,Berserk,Necropotence,Careful Study,Enlightened Tutor
33,master transmuter,Evasive Action,Kolaghan's Command,Mox amber,Invigorate,Hope of Ghirapur,Pack Rat,Monastery Mentor
34,myr Enforcer,Drown in the Loch,"Kroxa, Titan of Death's Hunger",Mycosynth lattice,Scale Up,Past in Flames,Show and Tell,Wear // Tear
35,broodstar,Botanical Sanctum,Blackcleave Cliffs,Extract,Mutagenic Growth,Bitter Ordeal,Unmask,Imperial Recruiter
36,Hangarback Walker,Vendilion Clique,Monastery Swiftspear,Liquimetal coating,Vines of Vastwood,Slaughter Pact,"Search for Azcanta // Azcanta, the Sunken Ruin",Spellseeker
37,Sower of Temptation,Pithing Needle,Brain Freeze,Relic of progenitus,Groundswell,Desperate Ritual,Shallow Grave,Rest in Peace
38,tangle wire,Silent Gravestone,Seal of Fire,Manifold key,Simic Charm,"Baral, Chief of Compliance",Goryo's Vengeance,Stony Silence
39,platinum Angel,Mission Briefing,Dreadbore,Voltaic key,Pendelhaven,Goblin Electromancer,Bazaar of Baghdad,Dovin's Veto
40,memnarch,Scavenging Ooze,Rakdos Charm,talisman of progress,Spell Snare,Pyretic Ritual,Zuran Orb,Disrupt
41,Thassa god of the sea,Thief Of Sanity,Soul-scar Mage,great furnace,Snapback,Seething Song,life // death,Hallowed Fountain
42,cryptic command,Elves of Deep Shadow,Eidolon of the Great Revel,vault of whispers,Viridian Corrupter,Bedevil,Liliana of the Veil,Raugrin Triome
43,acquire,Trygon Predator,Fireblast,shadow of doubt,Inkmoth Nexus,Damnation,Liliana's Triumph,Path to Exile
44,corrupted conscience,Llanowar Elves,Searing Blaze,aether spellbomb,Kindred Charge,Empty the Warrens,Aether Searcher,Drannith Magistrate
45,Psychosis Crawler,Planar Void,Chromatic Sphere,Padeem consul  of innovation,Blight Mamba,By Force,"Ulamog, the Ceaseless",Solemnity