,odenwodanaz,Talanthalos,Cyber,Gateways/jmm,Kayiu,Dragon Fodder,Archermaster,Puff
Wins,2,5,1,1,0,0,2,2
Losses,1,1,1,1,0,3,2,4
Date,2020-05-29,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1XbbDyxkFVGiQT9kVM4KYmg6LX43K4G7rbbWRNVO1EFI/edit#gid=0,,,,,,,
1,Black Lotus,Ancestral Recall,Time Walk,Mox Ruby,Mox Sapphire,Time Vault,Mox Jet,Sol Ring
2,Mana Vault,Mana Crypt,Force of Will,Vampiric Tutor,Mox Pearl,Tinker,Mox Emerald,Demonic Tutor
3,Grim Monolith,Force of Negation,Strip Mine,Timetwister,Brainstorm,Aether Searcher,Entomb,Yawgmoth's Will
4,Mox Diamond,Daze,Snapcaster Mage,Lotus Petal,Mana Drain,Arcane Savant,Channel,Thoughtseize
5,Scalding Tarn,Spell Pierce,Mental Misstep,Lion's Eye Diamond,Prismatic Vista,Chrome Mox,"Emrakul, the Aeons Torn",Dark Ritual
6,"Narset, Parter of Veils",Gitaxian Probe,Treasure Cruise,Mox Tantalite,Dig Through Time,Dack Fayden,Griselbrand,Mind Twist
7,Tolarian Academy,Ponder,"Lutri, the Spellchaser",Lotus Bloom,Opt,Pact of Negation,Reanimate,Duress
8,Goblin Engineer,Sensei's Divining Top,Wasteland,High Tide,Preordain,Mox Opal,Inquisition of Kozilek,Dark Confidant
9,"Urza, Lord High Artificer","Jace, Vryn's Prodigy // Jace, Telepath Unbound","Oko, Thief of Crowns",Serum Visions,"Teferi, Time Raveler",Painter's Servant,Unmask,Imperial Seal
10,"Karn, The Great Creator",Volcanic Island,True-Name Nemesis,Manamorphose,Polluted Delta,Ancient Tomb,Animate Dead,Hymn to Tourach
11,Basalt Monolith,Flooded Strand,Misty Rainforest,Bloodstained Mire,Underground Sea,Counterspell,Cabal Ritual,Tendrils of Agony
12,Tezzeret The Seeker,Flusterstorm,Tropical Island,Badlands,Marsh Flats,Seat of the Synod,Verdant Catacombs,Bolas's Citadel
13,Goblin Welder,Tundra,Wooded Foothills,Watery Grave,Hallowed Fountain,Transmute Artifact,Bayou,Nihil Spellbomb
14,Library of Alexandria,Arid Mesa,Steam Vents,Simian Spirit Guide,Thassa's Oracle,"Daretti, Scrap Savant",Blightsteel Colossus,Mesmeric Fiend
15,"Jace, the Mind Sculptor",Brazen Borrower // Petty Theft,Mana Leak,Sleight of Hand,Negate,Spirebluff Canal,Veil of Summer,Culling the Weak
16,Windfall,Monastery Mentor,Portent,Desperate Ritual,Miscalculation,Ancient Den,Shallow Grave,Brain Maggot
17,Memory Jar,Delver of Secrets // Insectile Aberration,Remand,Pyretic Ritual,Frantic Search,Pyroblast,Windswept Heath,Tainted Pact
18,Fiery Islet,"Thalia, Guardian of Thraben",Spellseeker,Cruel Tutor,"Dovin, Hand of Control",Red Elemental Blast,Overgrown Tomb,Lake of the Dead
19,Mishra's Bauble,Spell Snare,Pteramander,Underworld Breach,Swords to Plowshares,Urza's Bauble,Necropotence,Wishclaw Talisman
20,Fastbond,Energy Flux,Gush,Wheel of Fortune,Swan Song,Mystical Tutor,Survival of the Fittest,Sinkhole
21,Gamble,Path to Exile,Imperial Recruiter,Reforge the Soul,Demonic Consultation,Cascade Bluffs,Bazaar of Baghdad,Bitterblossom
22,"Emry, Lurker of The Loch",Young Pyromancer,Life from the Loam,Rite of Flame,Mindbreak Trap,Personal Tutor,Defense Grid,Ensnaring Bridge
23,Faithless Looting,Goblin Guide,Tarmogoyf,Seething Song,Shark Typhoon,Muddle The Mixture,Grim Tutor,Dark Depths
24,Shivan Reef,Steel Sabotage,Chart a Course,Ruby Medallion,Dovin's Veto,Reshape,Ashen Rider,Vampire Hexmage
25,Chromatic Star,Goblin Rabblemaster,Dire Fleet Daredevil,Night's Whisper,Standstill,Mystical Dispute,Exhume,Sign in Blood
26,Lightning Bolt,Abrade,Seedtime,Rain of Filth,Seachrome Coast,Fabricate,Sylvan Library,Dark Petition
27,Fiery Confluence,Izzet Charm,Dispel,Telling Time,Cryptic Command,Impulse,Cabal Therapy,Liliana of the Veil
28,"Zirda, The Dawnwaker",Spirit of the Labyrinth,Stifle,"Baral, Chief of Compliance",Annul,Talisman of Creativity,Inkwell Leviathan,Yawgmoth's Bargain
29,Walking Ballista,Phantasmal Image,Scavenging Ooze,Goblin Electromancer,Supreme Verdict,Izzet Signet,Elvish Spirit Guide,Leyline of the Void
30,Thirst For Knowledge,Rest in Peace,Blue Elemental Blast,Thought Scour,Hydroblast,Tormod's Crypt,Street Wraith,Unearth
31,"Saheeli, Sublime Artificer",Vapor Snag,Taiga,Brain Freeze,Balance,Great Furnace,Assassin's Trophy,"Gonti, Lord of Luxury"
32,Chromatic Sphere,Mana Confluence,Misdirection,Grapeshot,Celestial Colonnade,City of Brass,Abrupt Decay,Pack Rat
33,"Karn, Scion of Urza",Rending Volley,Mystic Sanctuary,Darkslick Shores,Creeping Tar Pit,Pithing Needle,Deathrite Shaman,Praetor's Grasp
34,Disrupt,Smash to Smithereens,Ancient Grudge,Blackcleave Cliffs,Enlightened Tutor,Galvanic Blast,Collective Brutality,Snuff Out
35,Relic of Progenitus,Scab-Clan Berserker,"Kiki-Jiki, Mirror Breaker",Careful Study,Hall of Heliod's Generosity,"Thada Adel, Acquisitor",Dismember,Hypnotic Specter
36,Spire of Industry,Aegis of the Gods,Deceiver Exarch,Ebon Stronghold,"Kaya, Orzhov Usurper",Grindstone,Putrid Imp,Raven's Crime
37,Divert,Plateau,Pestermite,Epic Experiment,Mishra's Factory,Damping Sphere,Null Rod,Helm of Obedience
38,RIngs of Brighthearth,Wear // Tear,Breeding Pool,Bedlam Reveler,Vindicate,Scroll Rack,Chancellor of the Annex,Darkness
39,Wurmcoil Engine,Vryn Wingmare,Raging Ravine,Past in Flames,Bribery,Deal Broker,Collector Ouphe,Fatal Push
40,Liquimetal Coating,Imposing Sovereign,Regrowth,Fetid Pools,Containment Priest,By Force,"Ulamog, the Infinite Gyre",Waste Not
41,Power Artifact,Phyrexian Revoker,Splinter Twin,Sunken Hollow,"Ashiok, Dream Render",Manifold Key,Nature's Claim,Funeral Charm
42,Magma Mine,Ethersworn Canonist,Chain Lightning,Time Spiral,Anguished Unmaking,Kindred Charge,Worldly Tutor,Spoils of the Vault
43,Staff of Domination,Raugrin Triome,Destructive Revelry,Boomerang,Stony Silence,Pyrite Spellbomb,Corpse Dance,The Rack
44,Mycosynth Lattice,Fact or Fiction,Electrolyze,Unwind,Rule of Law,Academy Ruins,Nurturing Peatland,"Liliana, the Last Hope"
45,Paradox Engine,Grafdigger's Cage,Trygon Predator,Rakdos Charm,Force Spike,Voltaic Key,Birds of Paradise,"Rankle, Master of Pranks"